公告,#genre#
电视指南,http://60.27.103.47:8082/rtp/225.1.2.167:5002
风云剧场,http://180.154.8.173:7086/rtp/239.45.0.50:5140
风云剧场,http://101.81.81.14:9998/rtp/239.45.0.50:5140
风云音乐,http://180.154.8.173:7086/rtp/239.45.0.52:5140
风云音乐,http://101.81.81.14:9998/rtp/239.45.0.52:5140
风云足球,http://180.154.8.173:7086/rtp/239.45.0.43:5140
风云足球,http://101.81.81.14:9998/rtp/239.45.0.43:5140
高尔夫网球,http://180.154.8.173:7086/rtp/239.45.0.48:5140
高尔夫网球,http://101.81.81.14:9998/rtp/239.45.0.48:5140
怀旧剧场,http://180.154.8.173:7086/rtp/239.45.0.49:5140
怀旧剧场,http://101.81.81.14:9998/rtp/239.45.0.49:5140
女性时尚,http://180.154.8.173:7086/rtp/239.45.0.47:5140
女性时尚,http://101.81.81.14:9998/rtp/239.45.0.47:5140
世界地理,http://180.154.8.173:7086/rtp/239.45.0.46:5140
世界地理,http://101.81.81.14:9998/rtp/239.45.0.46:5140
央视文化精品,http://180.154.8.173:7086/rtp/239.45.0.53:5140
央视文化精品,http://101.81.81.14:9998/rtp/239.45.0.53:5140
央视台球,http://180.154.8.173:7086/rtp/239.45.0.44:5140
央视台球,http://101.81.81.14:9998/rtp/239.45.0.44:5140
重温经典,http://120.197.18.252:2901/udp/224.1.100.126:11111
重温经典,http://119.32.12.32:2901/udp/224.1.100.126:11111
劲爆体育,http://120.197.18.252:2901/udp/224.1.100.129:11111
劲爆体育,http://119.32.12.32:2901/udp/224.1.100.129:11111
新视觉,http://120.197.18.252:2901/udp/224.1.100.136:11111
新视觉,http://119.32.12.32:2901/udp/224.1.100.136:11111
卫生健康,http://14.145.234.215:8888/rtp/239.77.0.212:5146
卫生健康,http://58.63.66.240:8888/rtp/239.77.0.212:5146
魅力足球,http://111.167.64.129:4022/rtp/225.1.1.137:5002
魅力足球,http://60.27.103.47:8082/rtp/225.1.1.137:5002
武术世界,http://111.167.64.129:4022/rtp/225.1.2.129:5002
武术世界,http://60.27.103.47:8082/rtp/225.1.2.129:5002
上海新闻综合,http://180.154.8.173:7086/rtp/239.45.3.209:5140
上海新闻综合,http://101.81.81.14:9998/rtp/239.45.3.209:5140
东方卫视,http://180.154.8.173:7086/rtp/239.45.3.146:5140
东方卫视,http://101.81.81.14:9998/rtp/239.45.3.146:5140
上海都市,http://180.154.8.173:7086/rtp/239.45.3.236:5140
上海都市,http://101.81.81.14:9998/rtp/239.45.3.236:5140
上海纪实,http://180.154.8.173:7086/rtp/239.45.3.212:5140
上海纪实,http://101.81.81.14:9998/rtp/239.45.3.212:5140
上视东方影视,http://180.154.8.173:7086/rtp/239.45.3.237:5140
上视东方影视,http://101.81.81.14:9998/rtp/239.45.3.237:5140
第一财经,http://180.154.8.173:7086/rtp/239.45.3.211:5140
第一财经,http://101.81.81.14:9998/rtp/239.45.3.211:5140
五星体育,http://180.154.8.173:7086/rtp/239.45.3.210:5140
五星体育,http://101.81.81.14:9998/rtp/239.45.3.210:5140
哈哈炫动,http://180.154.8.173:7086/rtp/239.45.1.55:5140
哈哈炫动,http://101.81.81.14:9998/rtp/239.45.1.55:5140
上海外语,http://180.154.8.173:7086/rtp/239.45.1.127:5140
上海外语,http://101.81.81.14:9998/rtp/239.45.1.127:5140
上海教育台,http://180.154.8.173:7086/rtp/239.45.0.13:5140
上海教育台,http://101.81.81.14:9998/rtp/239.45.0.13:5140
七彩戏剧,http://180.154.8.173:7086/rtp/239.45.0.16:5140
七彩戏剧,http://101.81.81.14:9998/rtp/239.45.0.16:5140
都市剧场,http://180.154.8.173:7086/rtp/239.45.3.136:5140
都市剧场,http://101.81.81.14:9998/rtp/239.45.3.136:5140
欢笑剧场,http://180.154.8.173:7086/rtp/239.45.1.4:5140
欢笑剧场,http://101.81.81.14:9998/rtp/239.45.1.4:5140
CHC家庭影院,http://180.154.8.173:7086/rtp/239.45.0.40:5140
CHC家庭影院,http://101.81.81.14:9998/rtp/239.45.0.40:5140
CHC高清电影,http://180.154.8.173:7086/rtp/239.45.0.42:5140
CHC高清电影,http://101.81.81.14:9998/rtp/239.45.0.42:5140
CHC动作电影,http://180.154.8.173:7086/rtp/239.45.0.41:5140
CHC动作电影,http://101.81.81.14:9998/rtp/239.45.0.41:5140
BesTV儿童4K,http://180.154.8.173:7086/rtp/239.45.1.11:5140
BesTV儿童4K,http://101.81.81.14:9998/rtp/239.45.1.11:5140
BesTV电影4K,http://180.154.8.173:7086/rtp/239.45.1.42:5140
BesTV电影4K,http://101.81.81.14:9998/rtp/239.45.1.42:5140
浙江电信,#genre#
浙江卫视,http://183.129.94.36:4022/rtp/233.50.201.100:5140
浙江卫视,http://125.123.120.15:4022/rtp/233.50.201.100:5140
浙江钱江都市,http://183.129.94.36:4022/rtp/233.50.201.132:5140
浙江钱江都市,http://125.123.120.15:4022/rtp/233.50.201.132:5140
浙江经济生活,http://183.129.94.36:4022/rtp/233.50.201.133:5140
浙江经济生活,http://125.123.120.15:4022/rtp/233.50.201.133:5140
浙江教育,http://183.129.94.36:4022/rtp/233.50.201.134:5140
浙江教育,http://125.123.120.15:4022/rtp/233.50.201.134:5140
浙江民生休闲,http://183.129.94.36:4022/rtp/233.50.201.136:5140
浙江民生休闲,http://125.123.120.15:4022/rtp/233.50.201.136:5140
浙江公共新闻,http://183.129.94.36:4022/rtp/233.50.201.137:5140
浙江公共新闻,http://125.123.120.15:4022/rtp/233.50.201.137:5140
浙江少儿,http://183.129.94.36:4022/rtp/233.50.201.138:5140
浙江少儿,http://125.123.120.15:4022/rtp/233.50.201.138:5140
之江纪录,http://183.129.94.36:4022/rtp/233.50.202.25:5140
之江纪录,http://125.123.120.15:4022/rtp/233.50.202.25:5140
杭州综合,http://183.129.94.36:4022/rtp/233.50.201.173:5140
杭州综合,http://125.123.120.15:4022/rtp/233.50.201.173:5140
杭州西湖明珠,http://183.129.94.36:4022/rtp/233.50.201.174:5140
杭州西湖明珠,http://125.123.120.15:4022/rtp/233.50.201.174:5140
杭州生活,http://183.129.94.36:4022/rtp/233.50.201.175:5140
杭州生活,http://125.123.120.15:4022/rtp/233.50.201.175:5140
杭州影视,http://183.129.94.36:4022/rtp/233.50.201.176:5140
杭州影视,http://125.123.120.15:4022/rtp/233.50.201.176:5140
杭州青少体育,http://183.129.94.36:4022/rtp/233.50.201.177:5140
杭州青少体育,http://125.123.120.15:4022/rtp/233.50.201.177:5140
杭州导视,http://183.129.94.36:4022/rtp/233.50.201.182:5140
杭州导视,http://125.123.120.15:4022/rtp/233.50.201.182:5140
NBTV1,http://183.129.94.36:4022/rtp/233.50.201.168:5140
NBTV1,http://125.123.120.15:4022/rtp/233.50.201.168:5140
NBTV2,http://183.129.94.36:4022/rtp/233.50.201.178:5140
NBTV2,http://125.123.120.15:4022/rtp/233.50.201.178:5140
NBTV3,http://183.129.94.36:4022/rtp/233.50.201.179:5140
NBTV3,http://125.123.120.15:4022/rtp/233.50.201.179:5140
NBTV4,http://183.129.94.36:4022/rtp/233.50.201.180:5140
NBTV4,http://125.123.120.15:4022/rtp/233.50.201.180:5140
温州新闻综合,http://183.129.94.36:4022/rtp/233.50.201.87:5140
温州新闻综合,http://125.123.120.15:4022/rtp/233.50.201.87:5140
绍兴新闻综合,http://183.129.94.36:4022/rtp/233.50.201.156:5140
绍兴新闻综合,http://125.123.120.15:4022/rtp/233.50.201.156:5140
衢州新闻综合,http://183.129.94.36:4022/rtp/233.50.202.11:5140
衢州新闻综合,http://125.123.120.15:4022/rtp/233.50.202.11:5140
衢州公共,http://183.129.94.36:4022/rtp/233.50.202.12:5140
衢州公共,http://125.123.120.15:4022/rtp/233.50.202.12:5140
凤凰中文,http://183.129.94.36:4022/rtp/233.50.200.42:5140
凤凰中文,http://125.123.120.15:4022/rtp/233.50.200.42:5140
凤凰资讯,http://183.129.94.36:4022/rtp/233.50.200.192:5140
凤凰资讯,http://125.123.120.15:4022/rtp/233.50.200.192:5140
天津卫视,http://183.129.94.36:4022/rtp/233.50.200.104:5140
天津卫视,http://125.123.120.15:4022/rtp/233.50.200.104:5140
河北卫视,http://183.129.94.36:4022/rtp/233.50.200.105:5140
河北卫视,http://125.123.120.15:4022/rtp/233.50.200.105:5140
安徽卫视,http://183.129.94.36:4022/rtp/233.50.200.106:5140
安徽卫视,http://125.123.120.15:4022/rtp/233.50.200.106:5140
重庆卫视,http://183.129.94.36:4022/rtp/233.50.200.114:5140
重庆卫视,http://125.123.120.15:4022/rtp/233.50.200.114:5140
云南卫视,http://183.129.94.36:4022/rtp/233.50.200.115:5140
云南卫视,http://125.123.120.15:4022/rtp/233.50.200.115:5140
四川卫视,http://183.129.94.36:4022/rtp/233.50.200.118:5140
四川卫视,http://125.123.120.15:4022/rtp/233.50.200.118:5140
江西卫视,http://183.129.94.36:4022/rtp/233.50.200.119:5140
江西卫视,http://125.123.120.15:4022/rtp/233.50.200.119:5140
