1265k  123.146.242.32:8003
1125k  27.10.225.73:8001
1124k  27.10.226.7:8002
1108k  123.145.6.108:8005
977k  27.10.225.73:8002
976k  27.10.11.222:8005
972k  123.145.12.166:8004
839k  123.144.177.26:55555
794k  27.9.124.10:4022
788k  221.7.123.29:55555
508k  27.11.250.33:8002
488k  27.10.75.68:8004
478k  27.10.226.7:8003
439k  27.10.226.7:8001
352k  27.11.249.135:8001
320k  27.10.226.7:8005
292k  27.10.225.73:8003
248k  27.11.57.79:8002
192k  27.11.250.33:8004
139k  27.10.72.161:8004
132k  27.11.55.134:8005
127k  27.11.250.33:8005
