1343k  125.36.67.110:8888
1230k  111.165.215.158:50000
1187k  180.213.163.219:8000
1144k  111.165.213.195:8000
1126k  111.167.67.116:4022
1112k  218.67.187.86:8888
1066k  218.68.54.13:8888
991k  117.10.94.61:4022
916k  125.37.162.223:4022
810k  60.26.2.242:7000
606k  221.196.152.238:8888
315k  60.25.111.65:8888
295k  111.165.2.160:4022
