1046k  101.229.230.7:4022
1037k  101.93.223.15:6666
1018k  222.67.91.178:4022
886k  116.237.8.40:8888
740k  101.83.162.100:9999
631k  116.232.248.169:58888
583k  58.32.42.132:4022
579k  116.226.32.88:9999
569k  114.83.223.132:9999
412k  114.95.156.205:4022
281k  116.226.123.242:4022
271k  180.154.108.141:58888
