987k  118.79.139.47:6000
985k  60.223.69.250:10000
978k  60.220.167.204:8085
977k  60.220.167.112:8085
977k  183.191.227.67:8085
977k  183.191.226.236:8085
977k  183.191.226.236:8083
977k  171.122.154.64:8085
977k  171.117.72.74:8001
977k  118.78.221.176:8686
973k  171.124.108.71:8085
971k  171.116.192.104:8085
970k  183.191.226.236:8082
969k  60.220.167.171:8085
895k  183.191.246.251:8083
774k  183.188.22.67:6000
729k  171.119.204.204:6001
707k  61.134.215.243:8082
611k  171.118.171.14:8082
601k  183.184.35.231:8083
572k  183.184.35.231:8085
504k  171.118.152.253:8083
403k  183.191.246.251:8085
326k  183.188.20.89:6000
287k  171.118.171.14:8085
268k  183.188.198.17:7000
235k  171.118.152.253:8082
145k  221.205.132.3:8083
145k  183.191.227.9:8085
116k  60.223.72.177:8003
102k  171.118.152.253:8085
99k  183.185.64.72:8085
