1028k  123.13.247.15:4002
1026k  221.14.152.135:4000
988k  123.13.245.214:4002
618k  123.13.246.62:4002
615k  123.13.246.112:4002
594k  222.138.212.251:9999
570k  123.13.246.104:4002
560k  123.13.245.233:4002
436k  115.60.241.249:2000
325k  123.13.247.48:4002
163k  123.13.246.111:4002
124k  123.13.246.125:4002
