563k  114.98.160.93:2000
537k  223.242.147.52:4022
439k  223.215.1.154:2000
375k  117.57.79.217:8888
357k  60.168.224.153:2000
254k  114.107.3.64:2000
252k  114.107.2.225:2000
251k  223.240.190.66:8888
210k  223.243.54.232:18888
205k  114.107.3.61:2000
159k  60.168.226.119:2000
143k  124.113.216.221:8888
